,discount,price,no of items,location,segment,sub-class,delivery type,profit
1502,0.0,30.4,5,West,Consumer,lighting,Standard Class,15.2
1503,0.2,575.92,2,West,Consumer,colddrinks,Standard Class,71.99
1504,0.0,13.12,4,South,Corporate,television,Second Class,4.3296
1505,0.2,12.624,2,Central,Corporate,lighting,Standard Class,3.945
1506,0.0,64.02,6,Central,Corporate,watch,Standard Class,29.4492
1507,0.4,998.85,5,Central,Consumer,sweets,Standard Class,-199.77
1508,0.0,139.93,7,West,Consumer,chocolates,First Class,34.9825
1509,0.0,43.68,3,West,Consumer,battery,First Class,11.7936
1510,0.15,411.332,4,West,Home Office,pants,Same Day,-4.8392
1511,0.0,41.4,4,West,Home Office,tablet,Same Day,19.872
1512,0.0,7.36,2,West,Home Office,charger,Same Day,0.1472
1513,0.2,5.04,2,East,Consumer,tablet,Standard Class,1.764
1514,0.2,5.544,7,Central,Corporate,chocolates,Standard Class,1.6632
1515,0.6,19.3,5,Central,Consumer,shorts,Second Class,-14.475
1516,0.0,169.45,5,Central,Home Office,laptop,Standard Class,42.3625
1517,0.4,1502.376,4,East,Consumer,colddrinks,Standard Class,-250.396
1518,0.2,35.168,7,East,Consumer,shorts,Standard Class,9.6712
1519,0.2,646.2,5,Central,Consumer,laptop,Standard Class,-8.0775
1520,0.3,611.058,3,East,Corporate,tshirts,Same Day,-34.9176
1521,0.4,1049.97,5,East,Corporate,colddrinks,Same Day,-209.99400000000003
1522,0.2,120.712,1,West,Consumer,tshirts,Second Class,-18.1068
1523,0.0,111.79,7,Central,Consumer,chocolates,Second Class,43.5981
1524,0.0,151.92,4,Central,Corporate,television,Standard Class,45.576
1525,0.0,197.58,2,West,Corporate,laptop,Standard Class,53.3466
1526,0.0,485.88,6,West,Corporate,laptop,Standard Class,9.7176
1527,0.2,12.095999999999998,7,West,Corporate,headset,Standard Class,4.2336
1528,0.0,151.72,4,West,Consumer,shorts,First Class,27.3096
1529,0.2,2.6239999999999997,1,East,Consumer,television,First Class,0.4264
1530,0.0,14.67,3,Central,Consumer,headset,Standard Class,6.7482
1531,0.3,155.372,2,Central,Corporate,tshirts,Second Class,-35.5136
1532,0.2,23.471999999999998,3,West,Consumer,watch,Standard Class,8.802
1533,0.0,25.92,4,West,Corporate,phone,Standard Class,12.4416
1534,0.0,7.44,3,West,Consumer,television,Standard Class,2.6039999999999996
1535,0.0,196.62,2,Central,Corporate,tablet,Standard Class,96.3438
1536,0.0,15.96,2,Central,Corporate,phone,Standard Class,7.98
1537,0.2,539.92,5,West,Consumer,colddrinks,Standard Class,47.243
1538,0.2,51.016000000000005,7,West,Consumer,television,Standard Class,8.2901
1539,0.2,275.952,3,East,Home Office,pants,Second Class,-37.9434
1540,0.0,1117.92,4,East,Home Office,laptop,Second Class,55.896
1541,0.0,52.96,2,East,Consumer,shorts,Second Class,20.1248
1542,0.6,6.096,3,Central,Corporate,shorts,Standard Class,-3.9624
1543,0.2,15.696,3,Central,Corporate,phone,Standard Class,5.1012
1544,0.0,144.12,3,Central,Corporate,phone,Standard Class,69.1776
1545,0.2,5.904,2,Central,Corporate,tablet,Standard Class,1.9926
1546,0.2,2.52,1,Central,Corporate,tablet,Standard Class,0.882
1547,0.2,24.671999999999997,3,Central,Corporate,chocolates,Standard Class,0.0
1548,0.0,26.76,4,West,Corporate,phone,Second Class,12.3096
1549,0.0,23.88,3,West,Corporate,shorts,Second Class,10.5072
1550,0.0,320.88,6,West,Corporate,battery,Second Class,93.0552
1551,0.7,5.742000000000001,3,East,Home Office,headset,Standard Class,-4.5936
1552,0.0,111.15,5,South,Home Office,shorts,Standard Class,48.906000000000006
1553,0.3,1218.735,5,Central,Corporate,hoodies,Standard Class,-121.8735
1554,0.0,29.12,4,Central,Home Office,headset,Standard Class,14.2688
1555,0.4,9.588,2,East,Consumer,colddrinks,Second Class,-2.0774
1556,0.0,78.35,5,Central,Home Office,watch,Standard Class,36.8245
1557,0.0,19.44,3,West,Consumer,phone,Standard Class,9.3312
1558,0.2,21.936,3,West,Consumer,headset,Standard Class,8.226
1559,0.2,573.7280000000001,4,West,Consumer,hoodies,Standard Class,-64.5444
1560,0.2,666.3439999999999,7,West,Consumer,colddrinks,Standard Class,66.6344
1561,0.0,35.34,2,West,Consumer,shorts,Standard Class,13.4292
1562,0.2,58.24,5,South,Corporate,battery,Second Class,5.096
1563,0.2,8.376,3,South,Corporate,lighting,Second Class,2.7222
1564,0.2,447.968,4,West,Consumer,sweets,Standard Class,139.99
1565,0.0,43.57,1,East,Home Office,laptop,Standard Class,13.071
1566,0.0,275.94,6,East,Home Office,colddrinks,Standard Class,80.0226
1567,0.0,3991.98,2,East,Home Office,sweets,Standard Class,1995.99
1568,0.1,135.882,1,East,Home Office,tshirts,Standard Class,24.1568
1569,0.0,6.72,4,West,Home Office,television,Same Day,3.36
1570,0.0,89.97,3,Central,Corporate,chocolates,Standard Class,18.8937
1571,0.0,5.76,2,East,Corporate,headset,Second Class,2.8224
1572,0.2,410.352,3,South,Consumer,shorts,Standard Class,-51.294
1573,0.0,360.0,4,East,Home Office,chocolates,Standard Class,129.6
1574,0.7,14.300999999999998,7,South,Consumer,headset,Standard Class,-10.4874
1575,0.2,52.06399999999999,4,East,Home Office,headset,Standard Class,18.8732
1576,0.0,20.04,6,West,Home Office,shorts,Standard Class,8.8176
1577,0.0,36.63,3,Central,Consumer,laptop,Standard Class,9.8901
1578,0.0,245.88,6,Central,Consumer,battery,Standard Class,68.8464
1579,0.2,40.711999999999996,7,Central,Consumer,charger,Standard Class,3.5623
1580,0.8,1.476,3,Central,Consumer,headset,Standard Class,-2.214
1581,0.3,683.1439999999999,4,Central,Consumer,tshirts,Standard Class,0.0
1582,0.2,123.14399999999999,7,West,Consumer,headset,Standard Class,46.178999999999995
1583,0.2,74.352,3,Central,Corporate,watch,First Class,26.9526
1584,0.0,2.94,1,West,Corporate,television,Standard Class,0.7938
1585,0.8,26.046,3,Central,Corporate,headset,First Class,-44.2782
1586,0.0,149.9,5,South,Consumer,tshirts,Same Day,40.473
1587,0.2,58.416000000000004,2,East,Consumer,chocolates,Standard Class,16.7946
1588,0.2,51.56,5,East,Consumer,chocolates,Standard Class,-6.445
1589,0.2,1080.096,6,East,Consumer,laptop,Standard Class,-94.5084
1590,0.7,13.194,2,East,Consumer,headset,Standard Class,-8.796
1591,0.2,273.568,2,East,Consumer,shorts,Standard Class,-34.196
1592,0.0,47.79,3,South,Home Office,chocolates,Standard Class,16.2486
1593,0.0,43.68,6,South,Consumer,phone,Standard Class,20.9664
1594,0.4,945.0360000000001,6,South,Consumer,hoodies,Standard Class,-299.2614
1595,0.2,25.984,2,South,Consumer,laptop,Standard Class,-1.624
1596,0.2,143.856,9,South,Consumer,phone,Standard Class,48.5514
1597,0.0,31.68,6,East,Consumer,shorts,Standard Class,9.8208
1598,0.0,167.94,3,East,Consumer,phone,Standard Class,82.2906
1599,0.0,533.94,3,East,Consumer,battery,Standard Class,154.8426
1600,0.0,21.4,5,West,Home Office,phone,Standard Class,9.63
1601,0.0,44.4,3,West,Home Office,tablet,Standard Class,22.2
1602,0.0,31.68,6,Central,Home Office,phone,Standard Class,14.255999999999998
1603,0.0,69.52,2,South,Corporate,laptop,Standard Class,19.4656
1604,0.0,76.12,2,East,Corporate,battery,Standard Class,22.0748
1605,0.2,15.696,3,Central,Corporate,phone,Standard Class,5.1012
1606,0.2,47.808,12,South,Corporate,tablet,Standard Class,15.5376
1607,0.2,10.272,3,South,Corporate,television,Standard Class,0.8988
1608,0.2,7.52,5,South,Corporate,lighting,Standard Class,1.41
1609,0.2,155.976,3,West,Consumer,colddrinks,Standard Class,54.5916
1610,0.2,443.92,5,West,Consumer,laptop,Standard Class,-94.333
1611,0.2,1983.9679999999998,4,West,Consumer,colddrinks,Standard Class,247.99599999999998
1612,0.2,43.176,3,West,Consumer,television,Standard Class,4.3176
1613,0.2,978.84,9,South,Corporate,colddrinks,Standard Class,110.1195
1614,0.2,68.704,2,East,Corporate,shorts,First Class,16.3172
1615,0.7,3.1319999999999997,2,East,Corporate,headset,First Class,-2.61
1616,0.7,22.428,3,East,Corporate,headset,First Class,-17.9424
1617,0.2,3.488,2,South,Consumer,phone,Standard Class,1.1772
1618,0.0,11.64,3,East,Consumer,charger,Standard Class,3.3756
1619,0.2,7.856,2,East,Consumer,headset,Standard Class,2.8478
1620,0.2,48.896,2,East,Consumer,headset,Standard Class,18.336
1621,0.0,783.96,4,East,Consumer,colddrinks,Standard Class,219.5088
1622,0.2,286.344,3,East,Consumer,charger,Standard Class,-64.4274
1623,0.2,52.792,1,West,Corporate,colddrinks,Second Class,4.6193
1624,0.0,41.94,2,West,Corporate,chocolates,Second Class,15.0984
1625,0.0,362.92,2,West,Consumer,laptop,Standard Class,105.2468
1626,0.2,46.38399999999999,2,West,Consumer,colddrinks,Standard Class,5.2182
1627,0.2,799.92,10,South,Home Office,chocolates,Standard Class,239.976
1628,0.7,19.242,3,East,Consumer,headset,Standard Class,-13.4694
1629,0.4,50.232,7,East,Consumer,colddrinks,Standard Class,-10.0464
1630,0.4,539.964,6,East,Consumer,colddrinks,Standard Class,-107.9928
1631,0.2,88.77600000000001,3,Central,Consumer,colddrinks,Standard Class,7.7679
1632,0.0,89.34,6,East,Consumer,shorts,Standard Class,24.1218
1633,0.0,34.86,7,East,Consumer,tablet,Standard Class,16.0356
1634,0.0,22.58,2,Central,Consumer,laptop,Standard Class,5.8708
1635,0.0,12.39,3,Central,Consumer,headset,Standard Class,5.8233
1636,0.0,5.64,3,South,Corporate,television,Standard Class,1.6356
1637,0.0,30.18,3,East,Corporate,phone,First Class,13.8828
1638,0.2,36.288000000000004,7,Central,Corporate,phone,Standard Class,12.7008
1639,0.2,79.512,3,Central,Corporate,chocolates,Standard Class,20.8719
1640,0.2,16.656,6,Central,Corporate,charger,Standard Class,-3.123
1641,0.2,2.6719999999999997,1,Central,Corporate,television,Standard Class,0.33399999999999996
1642,0.2,7.872000000000001,3,South,Corporate,television,Second Class,0.8856
1643,0.2,629.064,3,West,Consumer,hoodies,Standard Class,31.4532
1644,0.0,11.96,2,West,Consumer,phone,Standard Class,5.8604
1645,0.32,67.9932,1,Central,Corporate,pants,Standard Class,-12.9987
1646,0.2,49.632,4,Central,Consumer,laptop,Same Day,4.9632
1647,0.0,223.92,4,East,Home Office,phone,Standard Class,109.7208
1648,0.0,46.35,5,East,Home Office,phone,Standard Class,21.7845
1649,0.3,797.944,4,Central,Consumer,tshirts,Standard Class,-56.996
1650,0.6,10.984000000000002,2,Central,Consumer,shorts,Standard Class,-7.9634
1651,0.2,2033.5839999999998,2,West,Corporate,headset,First Class,762.5939999999999
1652,0.0,102.13,7,West,Corporate,chocolates,First Class,15.3195
1653,0.0,22.98,1,West,Corporate,battery,First Class,6.894
1654,0.0,7.3,2,East,Home Office,charger,Standard Class,2.19
1655,0.0,123.92,4,West,Home Office,phone,Second Class,55.763999999999996
1656,0.6,25.128,3,Central,Consumer,shorts,Standard Class,-6.9102
1657,0.0,832.93,7,East,Consumer,colddrinks,Second Class,233.2204
1658,0.0,5.92,4,East,Corporate,lighting,First Class,2.8416
1659,0.0,273.96,2,Central,Home Office,colddrinks,Standard Class,10.9584
1660,0.0,10.95,3,West,Corporate,charger,Second Class,3.285
1661,0.0,20.46,2,West,Consumer,charger,First Class,5.3196
1662,0.0,772.47,3,West,Consumer,chocolates,First Class,146.7693
1663,0.0,10.11,3,West,Consumer,shorts,First Class,3.2352
1664,0.2,24.896,4,South,Consumer,phone,Standard Class,7.78
1665,0.2,127.984,2,Central,Consumer,chocolates,Standard Class,25.5968
1666,0.2,333.056,2,South,Consumer,battery,Standard Class,29.1424
1667,0.0,32.4,5,South,Consumer,phone,Standard Class,15.552
1668,0.1,69.264,2,East,Home Office,tshirts,Standard Class,14.6224
1669,0.0,11.36,2,East,Home Office,phone,Standard Class,5.2256
1670,0.2,20.736,4,Central,Corporate,phone,First Class,7.2576
1671,0.0,11.52,4,Central,Consumer,headset,Standard Class,5.6448
1672,0.0,12.72,3,Central,Consumer,headset,Standard Class,6.36
1673,0.0,43.8,10,East,Consumer,headset,Second Class,21.024
1674,0.2,4.224,3,South,Consumer,television,Standard Class,0.4752
1675,0.0,7.78,2,West,Home Office,battery,Second Class,2.0228
1676,0.2,604.656,9,Central,Consumer,watch,Standard Class,204.0714
1677,0.5,521.96,4,East,Corporate,pants,Second Class,-250.5408
1678,0.0,39.84,8,West,Consumer,tablet,Standard Class,18.3264
1679,0.0,53.2,5,West,Consumer,shorts,Standard Class,14.895999999999999
1680,0.0,62.24,8,West,Consumer,phone,Standard Class,28.008000000000003
1681,0.0,39.88,2,West,Consumer,shorts,Standard Class,11.1664
1682,0.0,10.99,1,West,Consumer,chocolates,Standard Class,4.2861
1683,0.2,601.536,8,West,Consumer,colddrinks,Standard Class,60.1536
1684,0.0,56.52,9,East,Home Office,shorts,Standard Class,21.4776
1685,0.0,3.9,2,Central,Consumer,television,Standard Class,1.521
1686,0.0,94.85,5,West,Consumer,phone,Second Class,45.528
1687,0.0,92.52,6,West,Consumer,laptop,Second Class,24.9804
1688,0.2,703.9680000000001,4,West,Consumer,colddrinks,Second Class,87.99600000000001
1689,0.15,222.666,2,West,Consumer,pants,Second Class,10.4784
1690,0.2,333.57599999999996,3,West,Consumer,colddrinks,Standard Class,25.0182
1691,0.2,120.76799999999999,4,West,Consumer,television,Second Class,9.0576
1692,0.2,575.928,9,West,Home Office,colddrinks,Second Class,57.5928
1693,0.2,25.92,5,West,Consumer,phone,Second Class,9.072000000000001
1694,0.0,62.65,7,West,Consumer,phone,Second Class,28.819000000000003
1695,0.0,12.84,3,Central,Consumer,phone,Standard Class,5.778
1696,0.0,340.92,3,West,Consumer,laptop,Second Class,3.4092
1697,0.0,563.94,3,Central,Consumer,tshirts,Standard Class,112.788
1698,0.0,15.84,3,Central,Consumer,phone,Standard Class,7.127999999999999
1699,0.0,30.48,3,West,Consumer,television,Standard Class,7.9248
1700,0.2,148.48,2,Central,Consumer,colddrinks,Standard Class,16.704
1701,0.2,262.336,8,Central,Consumer,phone,Standard Class,95.0968
1702,0.2,23.968000000000004,2,East,Corporate,shorts,Second Class,7.7896
1703,0.2,21.72,5,Central,Consumer,phone,Standard Class,7.8735
1704,0.2,67.56,3,Central,Consumer,television,Standard Class,6.756
1705,0.2,241.176,3,Central,Consumer,colddrinks,Standard Class,15.0735
1706,0.2,112.648,1,West,Consumer,tshirts,Standard Class,11.2648
1707,0.8,896.99,5,Central,Consumer,headset,Standard Class,-1480.0335
1708,0.2,603.92,5,West,Consumer,tshirts,Second Class,75.49
1709,0.2,559.984,2,West,Consumer,colddrinks,Second Class,55.9984
1710,0.2,3.392,1,West,Consumer,television,Second Class,0.8056
1711,0.0,665.88,6,Central,Consumer,laptop,Standard Class,13.3176
1712,0.0,535.41,3,Central,Consumer,laptop,Standard Class,160.623
1713,0.8,1.234,1,Central,Consumer,headset,Standard Class,-1.9744
1714,0.0,62.94,3,Central,Consumer,laptop,Standard Class,11.9586
1715,0.0,142.86,1,West,Corporate,laptop,Standard Class,41.4294
1716,0.2,30.36,5,East,Consumer,shorts,First Class,8.7285
1717,0.2,9.568,2,South,Consumer,phone,First Class,3.4684
1718,0.0,18.9,3,East,Corporate,tablet,First Class,8.693999999999999
1719,0.2,1.344,1,South,Consumer,television,Second Class,0.504
1720,0.2,424.272,2,South,Consumer,laptop,Second Class,-10.6068
1721,0.2,124.03200000000001,4,Central,Consumer,phone,Standard Class,44.9616
1722,0.2,45.528,3,South,Consumer,phone,Second Class,15.9348
1723,0.2,5.184,1,Central,Corporate,phone,Standard Class,1.8144
1724,0.4,53.316,2,East,Corporate,hoodies,Standard Class,-19.5492
1725,0.0,207.24,11,Central,Consumer,battery,Standard Class,58.0272
1726,0.2,292.272,6,West,Corporate,tshirts,Standard Class,18.267
1727,0.2,296.712,13,East,Home Office,headset,Standard Class,100.1403
1728,0.2,64.78399999999999,1,South,Consumer,tshirts,Second Class,6.4784
1729,0.0,56.52,3,East,Corporate,battery,Standard Class,15.8256
1730,0.0,13.97,1,West,Consumer,battery,First Class,3.6322
1731,0.0,361.96,2,West,Home Office,battery,Standard Class,101.3488
1732,0.0,3.48,2,West,Consumer,shorts,Standard Class,1.1136
1733,0.0,11.91,3,West,Consumer,charger,Standard Class,0.1191
1734,0.8,17.904,6,Central,Consumer,headset,Standard Class,-31.331999999999997
1735,0.8,8.69,5,Central,Consumer,headset,Standard Class,-14.773
1736,0.2,27.552,3,West,Corporate,lighting,First Class,9.2988
1737,0.7,78.6,5,West,Corporate,headset,First Class,-62.88
1738,0.2,173.65599999999998,7,West,Home Office,colddrinks,Standard Class,17.3656
1739,0.2,218.352,3,West,Corporate,shorts,First Class,-24.5646
1740,0.2,300.416,8,West,Corporate,shorts,First Class,78.8592
1741,0.3,600.558,3,Central,Home Office,tshirts,Second Class,-8.5794
1742,0.0,23.99,1,West,Home Office,shorts,Standard Class,5.5177
1743,0.0,20.34,1,West,Home Office,laptop,Standard Class,0.2034
1744,0.2,818.3760000000001,3,West,Home Office,colddrinks,Standard Class,51.1485
1745,0.0,62.85,3,West,Home Office,chocolates,Standard Class,13.1985
1746,0.2,230.352,3,West,Corporate,tshirts,First Class,20.1558
1747,0.2,132.16,1,Central,Consumer,laptop,Standard Class,9.912
1748,0.2,447.944,7,West,Consumer,chocolates,Same Day,89.5888
1749,0.0,11.76,4,West,Consumer,television,Standard Class,3.1752
1750,0.2,323.976,3,Central,Consumer,colddrinks,Standard Class,36.4473
1751,0.2,18.264,3,East,Consumer,phone,Standard Class,6.1641
1752,0.2,15.552,3,Central,Consumer,phone,Standard Class,5.4432
1753,0.2,32.592,3,Central,Consumer,laptop,Standard Class,-7.7406
1754,0.0,122.48,2,South,Home Office,laptop,First Class,0.0
1755,0.0,2244.48,7,South,Home Office,hoodies,First Class,493.7856
1756,0.0,62.31,3,South,Home Office,headset,First Class,29.2857
1757,0.0,455.1,2,South,Home Office,hoodies,First Class,100.12200000000001
1758,0.0,31.05,3,West,Consumer,tablet,Standard Class,14.904000000000002
1759,0.2,43.512,7,South,Consumer,battery,Standard Class,3.8073
1760,0.2,662.88,3,South,Consumer,tshirts,Standard Class,74.574
1761,0.2,25.92,5,South,Consumer,phone,Standard Class,9.072000000000001
1762,0.2,487.98400000000004,2,West,Consumer,headset,Second Class,152.495
1763,0.0,47.3,2,West,Consumer,television,Second Class,12.298
1764,0.0,4.13,1,West,Consumer,television,Second Class,1.1564
1765,0.2,155.12,5,West,Consumer,headset,Second Class,50.413999999999994
1766,0.0,3.69,1,Central,Consumer,tablet,First Class,1.7343
1767,0.0,17.28,6,East,Consumer,tablet,Standard Class,7.9488
1768,0.7,18.24,2,South,Home Office,headset,Standard Class,-14.592
1769,0.2,572.16,3,West,Consumer,tshirts,Standard Class,35.76
1770,0.2,1325.76,6,West,Consumer,tshirts,Standard Class,149.148
1771,0.1,192.18599999999998,3,East,Corporate,tshirts,Second Class,36.3018
1772,0.2,65.44,5,Central,Consumer,chocolates,Standard Class,-8.18
1773,0.0,216.4,4,East,Home Office,laptop,Standard Class,56.263999999999996
1774,0.8,19.432000000000002,2,Central,Consumer,battery,Standard Class,-49.5516
1775,0.2,221.92,5,West,Consumer,phone,First Class,77.672
1776,0.2,242.352,3,West,Consumer,tshirts,First Class,-42.4116
1777,0.2,71.976,3,West,Consumer,chocolates,First Class,21.5928
1778,0.2,51.968,2,West,Consumer,shorts,First Class,10.3936
1779,0.2,190.84799999999998,3,East,Consumer,shorts,Standard Class,-21.4704
1780,0.0,1103.97,3,Central,Consumer,headset,First Class,496.7865
1781,0.2,8.448,2,West,Consumer,phone,First Class,2.64
1782,0.2,34.656,2,East,Consumer,battery,Standard Class,5.6316
1783,0.6,8.736,3,Central,Home Office,shorts,Standard Class,-4.8048
1784,0.2,227.136,4,East,Consumer,laptop,Standard Class,-42.588
1785,0.6,38.976,3,Central,Consumer,shorts,Standard Class,-50.6688
1786,0.0,88.8,6,West,Consumer,tablet,Standard Class,44.4
1787,0.2,319.968,4,West,Consumer,colddrinks,Standard Class,35.9964
1788,0.2,48.36,5,East,Consumer,battery,Second Class,6.045
1789,0.0,9.84,3,Central,Corporate,television,Standard Class,2.8536
1790,0.2,12.984000000000002,3,Central,Corporate,watch,Second Class,4.7067
1791,0.2,217.584,2,Central,Corporate,colddrinks,Second Class,19.0386
1792,0.2,328.776,3,Central,Corporate,colddrinks,Second Class,28.7679
1793,0.8,2.286,3,Central,Corporate,headset,Second Class,-3.6576
1794,0.2,47.983999999999995,2,Central,Corporate,chocolates,Second Class,14.3952
1795,0.7,551.985,5,West,Corporate,headset,Standard Class,-459.9875
1796,0.2,27.968000000000004,2,East,Consumer,chocolates,Standard Class,6.992000000000001
1797,0.4,251.96400000000003,6,East,Corporate,colddrinks,Second Class,-50.3928
1798,0.4,523.764,3,East,Corporate,hoodies,Second Class,-192.0468
1799,0.0,122.94,3,East,Consumer,battery,Standard Class,30.735
1800,0.2,35.448,7,East,Consumer,headset,Standard Class,12.8499
1801,0.2,39.128,1,South,Consumer,laptop,First Class,-8.8038
1802,0.2,211.168,4,West,Corporate,colddrinks,First Class,15.8376
1803,0.0,34.77,3,East,Corporate,chocolates,First Class,11.4741
1804,0.2,475.944,7,West,Home Office,colddrinks,Same Day,59.493
1805,0.0,605.88,6,East,Home Office,tshirts,Standard Class,151.47
1806,0.0,341.96,2,East,Home Office,pants,Standard Class,78.6508
1807,0.0,1687.8,4,East,Home Office,chocolates,Standard Class,742.632
1808,0.0,33.29,1,West,Consumer,laptop,Second Class,7.9896
1809,0.0,14.94,3,East,Home Office,phone,Standard Class,7.0218
1810,0.2,49.568000000000005,2,Central,Corporate,watch,Standard Class,17.9684
1811,0.0,113.97,3,East,Home Office,chocolates,First Class,27.3528
1812,0.0,63.2,5,East,Home Office,shorts,First Class,23.384
1813,0.0,47.53,7,Central,Corporate,chocolates,Standard Class,16.1602
1814,0.0,29.68,7,Central,Corporate,television,Standard Class,11.5752
1815,0.2,1573.4879999999998,7,East,Corporate,pants,Second Class,196.68599999999998
1816,0.0,195.64,4,East,Home Office,phone,Standard Class,91.9508
1817,0.2,81.55199999999999,2,East,Consumer,battery,Standard Class,8.1552
1818,0.2,23.976,3,West,Consumer,colddrinks,Second Class,-5.6943
1819,0.0,274.77,9,West,Corporate,tablet,Standard Class,126.3942
1820,0.0,191.88,6,East,Consumer,laptop,Standard Class,19.188
1821,0.2,8.016,3,East,Corporate,television,Standard Class,1.1022
1822,0.0,11.56,4,West,Home Office,tablet,Second Class,5.4332
1823,0.6,32.952,6,Central,Consumer,shorts,Standard Class,-19.7712
1824,0.2,30.016,4,Central,Consumer,laptop,Standard Class,3.0016
1825,0.2,230.28,3,West,Consumer,tshirts,Standard Class,23.028000000000002
1826,0.0,12.84,3,West,Consumer,phone,Standard Class,5.778
1827,0.1,767.2139999999999,14,East,Home Office,tshirts,Standard Class,161.9674
1828,0.0,10.98,1,West,Home Office,battery,Standard Class,2.9646
1829,0.0,7.86,3,West,Home Office,lighting,Standard Class,3.6156
1830,0.0,51.45,3,West,Home Office,laptop,Standard Class,13.8915
1831,0.2,37.056,3,West,Home Office,headset,Standard Class,13.895999999999999
1832,0.0,23.92,4,South,Corporate,phone,Standard Class,11.7208
1833,0.0,498.0,5,South,Corporate,chocolates,Standard Class,184.26
1834,0.8,4.984,1,Central,Consumer,headset,First Class,-8.4728
1835,0.2,182.352,3,East,Consumer,shorts,Second Class,-18.2352
1836,0.2,118.16,2,East,Consumer,laptop,Second Class,-25.109
1837,0.2,191.976,3,West,Corporate,colddrinks,Standard Class,19.1976
1838,0.2,14.352,3,West,Corporate,headset,Standard Class,4.6644
1839,0.2,767.952,6,West,Corporate,sweets,Standard Class,287.982
1840,0.0,21.12,4,West,Corporate,phone,Standard Class,9.504
1841,0.0,24.9,5,West,Corporate,shorts,Standard Class,8.217
1842,0.0,119.8,4,Central,Consumer,chocolates,Standard Class,47.92
1843,0.0,70.56,6,West,Corporate,shorts,Standard Class,23.9904
1844,0.0,24.56,2,Central,Consumer,laptop,Standard Class,6.8768
1845,0.0,998.82,9,West,Consumer,laptop,Standard Class,29.9646
1846,0.0,141.76,4,East,Corporate,phone,Standard Class,66.6272
1847,0.0,704.25,5,East,Corporate,laptop,Standard Class,84.51
1848,0.0,1737.18,6,East,Corporate,battery,Standard Class,503.7822
1849,0.2,99.13600000000001,4,East,Corporate,television,First Class,8.6744
1850,0.7,946.7639999999999,6,West,Consumer,headset,Standard Class,-694.2936
1851,0.0,51.15,5,West,Consumer,charger,Standard Class,13.299000000000001
1852,0.2,583.8,5,West,Corporate,colddrinks,First Class,72.975
1853,0.2,83.92,5,South,Consumer,laptop,Second Class,-1.0490000000000002
1854,0.0,14.62,2,West,Corporate,tablet,First Class,6.8714
1855,0.2,348.48800000000006,7,East,Corporate,watch,First Class,117.6147
1856,0.2,172.736,4,East,Corporate,laptop,First Class,-30.2288
1857,0.2,98.376,3,East,Corporate,phone,Standard Class,35.6613
1858,0.7,29.94,4,East,Corporate,headset,Standard Class,-23.951999999999998
1859,0.2,17.472,3,East,Corporate,phone,Standard Class,5.6784
1860,0.4,36.738,1,East,Corporate,colddrinks,Standard Class,-9.1845
1861,0.4,179.94,2,East,Corporate,colddrinks,Standard Class,-44.985
1862,0.0,26.46,9,West,Consumer,television,Standard Class,11.907
1863,0.0,49.12,4,West,Consumer,phone,Standard Class,23.0864
1864,0.0,15.0,3,West,Consumer,lighting,Standard Class,7.2
1865,0.0,250.26,6,West,Consumer,battery,First Class,72.5754
1866,0.6,23.976,3,Central,Consumer,shorts,Second Class,-14.3856
1867,0.2,53.424,3,West,Consumer,laptop,Second Class,4.6746
1868,0.5,275.49,1,West,Consumer,hoodies,Second Class,-170.8038
1869,0.8,14.015999999999998,4,Central,Consumer,battery,Standard Class,-31.535999999999998
1870,0.5,214.95,5,Central,Consumer,hoodies,Standard Class,-120.37200000000001
1871,0.2,35.04,4,Central,Consumer,colddrinks,Standard Class,-7.007999999999999
1872,0.2,103.92,10,West,Consumer,chocolates,Standard Class,-18.186
1873,0.2,13.88,5,West,Consumer,charger,Standard Class,-2.6025
1874,0.2,52.68,3,West,Consumer,colddrinks,Standard Class,19.755
1875,0.7,6.456,4,West,Consumer,headset,Standard Class,-4.5192
1876,0.2,27.888,7,West,Consumer,tablet,Standard Class,9.0636
1877,0.2,60.416000000000004,2,Central,Corporate,laptop,Standard Class,6.0416
1878,0.0,24.56,2,South,Consumer,laptop,Standard Class,6.8768
1879,0.0,164.88,3,West,Home Office,phone,First Class,80.7912
1880,0.0,8.64,3,West,Consumer,television,First Class,2.4192
1881,0.0,105.52,4,South,Consumer,phone,Standard Class,48.5392
1882,0.2,42.208,2,South,Consumer,phone,Standard Class,13.7176
1883,0.2,35.168,2,Central,Consumer,laptop,Standard Class,-8.3524
1884,0.8,4.6,2,Central,Consumer,headset,Standard Class,-8.05
1885,0.6,10.776,3,Central,Consumer,shorts,Standard Class,-4.8492
1886,0.0,269.36,7,West,Home Office,laptop,Standard Class,70.0336
1887,0.2,11.52,5,West,Consumer,tablet,Standard Class,3.7439999999999998
1888,0.2,408.744,7,Central,Corporate,chocolates,Second Class,76.6395
1889,0.2,167.968,4,West,Corporate,colddrinks,Standard Class,62.988
1890,0.0,22.55,5,West,Corporate,lighting,First Class,8.7945
1891,0.0,2807.84,8,Central,Consumer,tshirts,First Class,673.8816
1892,0.0,46.64,4,Central,Consumer,television,First Class,12.5928
1893,0.0,58.2,3,West,Consumer,shorts,Standard Class,28.518
1894,0.2,95.96799999999999,4,South,Consumer,colddrinks,Standard Class,9.5968
1895,0.4,659.988,2,East,Consumer,fastfood,Second Class,109.99799999999999
